,Stock_Symbols,Class,returnOnEquity,EPS,priceToSalesRatio,PB ratio,Price to Sales Ratio,Market Cap,PE ratio,POCF ratio,ROIC,longtermDebtToCapitalization,Dividend Yield,debtEquityRatio,returnOnAssets,Debt to Assets,10Y Net Income Growth (per Share),10Y Revenue Growth (per Share),10Y Shareholders Equity Growth (per Share),10Y Operating CF Growth (per Share)
0,CMCSA,1.0,0.1116,2.56,3.0003,3.0391,3.0003,212264774961.6,31.296,6.3757,0.0887,0.24626923876872,0.0269,0.5277,0.3606,0.2407,-0.0068,0.0138,0.1211,0.0528
2,INTC,1.0,0.3193,4.57,0.3156,3.3579,0.3156,34235483913.28,20.023,7.2774,0.097,0.5873918567366401,0.0256,1.7711,0.112,0.3563,0.0,0.1117,0.0842,0.1289
3,MU,1.0,36.9667,12.27,0.302,0.0,0.302,8011704729.6,3.7604,3.5168,0.0283,0.92297656979015,0.0,12.0292,0.551,0.6202,0.1397,-0.0177,-0.2108,0.0202
4,GE,1.0,0.2444,-2.62,1.9032,5.1004,1.9032,33553903735.82,27.8663,14.9109,0.0994,0.58873530810234,0.0508,1.7101,0.4736,0.3883,0.0202,0.0682,0.0088,0.0603
6,AAPL,1.0,0.2877,12.01,4.218,6.0879,4.218,186832402301.76,25.4201,14.1753,0.0995,0.56277253251431,0.012,1.982,0.3861,0.5238,0.0519,0.0774,0.0556,0.0485
7,MSFT,1.0,0.201,2.15,0.5688,3.1721,0.5688,276259605900.45,16.9053,17.5097,0.1166,0.35343886462882,0.0165,0.6212,0.1427,0.2507,0.0771,0.0846,0.0807,0.0702
8,SIRI,1.0,0.2594,0.26,2.4044,2.1993,2.4044,71258269982.56,9.9866,13.4873,0.0323,0.34439001511283,0.0079,0.6836,1.1358,0.2795,0.1132,-0.0084,0.0002,-0.0206
9,HPQ,1.0,1.8198,3.3,4.4873,32.3094,4.4873,114131150260.61,21.8015,8.4363,0.1613,0.52084349555364,0.0231,1.087,-29.6102,0.3022,-0.0609,-0.0823,-0.2179,-0.1127
14,SNAP,1.0,-5.8218,-0.97,2.4856,5.6125,2.4856,46209188520.3,45.7914,-10.3417,0.0063,0.49872127280839,0.0,1.0479,0.1639,0.3515,-0.0183,0.0417,0.0,0.0643
15,FB,1.0,0.4823,7.65,1.9165,59.0308,1.9165,15488771618.16,23.4178,12.8689,0.2417,1.0160959444532,0.0,-74.2353,0.4076,0.5186,0.0213,0.0412,0.0361,0.0483
16,WFC,1.0,-0.1169,4.31,0.6513,8.2107,0.6513,47294605586.25,0.0,6.0131,0.0968,0.6027611357124301,0.0356,2.3167,-0.0588,0.4508,0.0,0.0824,0.0434,0.0482
17,AIG,1.0,0.1716,-0.01,1.9308,2.1589,1.9308,17886631290.36,26.0077,571.5409,0.1257,0.4796803469600801,0.0325,0.9848,0.3687,0.3169,0.1091,0.0599,0.1009,0.0652
18,T,1.0,0.2266,2.85,1.5648,3.8401,1.5648,22814478092.7,36.5114,4.7639,0.16399999999999998,0.053214065712134,0.0701,0.0562,0.2302,0.0392,-0.019,0.0584,0.0369,0.1274
19,C,1.0,-0.0558,6.69,1.4299,1.967,1.4299,12917904901.704,0.0,3.4406,0.0812,0.7781133828996301,0.0296,4.0665,-0.0872,0.514,0.0,-0.0038,0.0123,0.0023
20,VALE,1.0,0.4518,1.32,2.3261,8.2378,2.3261,146675736228.36,27.1375,5.2408,0.024,0.5679348458406099,0.0416,1.4688,0.2504,0.4074,0.0421,0.0814,-0.0049,0.0345
21,MS,1.0,0.2239,4.81,0.5297,4.3273,0.5297,61550246222.8,25.8872,9.3366,0.1419,0.7276931644833999,0.0277,3.2852,0.152,0.5027,0.092,0.09,0.0257,0.0718
24,ORCL,1.0,0.0487,0.87,2.0722,1.9931,2.0722,11796318737.28,34.8108,12.3961,0.2199,0.0,0.0163,0.0,0.1307,0.0,0.0437,0.048,0.0918,0.2375
25,NKE,1.0,-4.6288,1.19,3.7266,55.0739,3.7266,59752947437.34,43.5425,23.3551,0.0479,0.42338228639599,0.0106,0.7748,0.2979,0.3397,0.017,0.0498,0.0,0.1359
26,PG,1.0,0.1032,3.75,0.3233,1.7139,0.3233,21888418981.8,12.2676,13.2149,0.3407,1.038712760873,0.0357,-26.8848,0.1017,0.5389,0.0648,0.0714,0.0844,0.0715
29,PFE,0.0,0.1306,1.9,0.4579,4.1708,0.4579,22289844212.46,32.3621,15.9422,0.0676,0.49932036621299,0.0312,1.0573,0.113,0.4114,-0.0266,0.0557,0.0738,0.0094
32,TWTR,1.0,0.1228,1.6,0.2238,2.5187,0.2238,9727077031.68,13.284,16.3306,0.126,0.25957399019204,0.0,0.5664,0.0952,0.2573,0.0157,0.0339,0.0179,0.1347
33,AVGO,1.0,0.1247,29.33,3.1373,1.6658,3.1373,2241997590.89,28.5933,10.2472,0.0602,0.30049936355625,0.0318,0.6708,0.6723,0.2497,0.1499,0.027000000000000003,-0.0141,0.0
34,AMAT,1.0,0.1447,3.27,0.4759,3.0897,0.4759,2463616553.09,22.1587,8.0778,0.0578,0.6858871265527099,0.0193,2.1836,0.1188,0.5512,0.2609,0.1017,0.0448,0.1174
35,ZNGA,1.0,0.1454,0.02,3.7225,7.277,3.7225,22438994828.64,26.3591,20.1331,0.1623,0.07958915134713901,0.0,0.0865,0.1881,0.038,0.13,0.0513,0.0879,0.1397
36,XOM,1.0,1.0734,4.88,0.2862,14.0785,0.2862,1763363439.0,0.0,8.0164,0.0701,0.5095919496404,0.0474,1.232,-1.2585,0.4763,0.0,-0.0209,0.0,0.1379
39,CSCO,1.0,0.2989,0.02,3.0419,7.3761,3.0419,32792003697.46,30.1951,14.512,0.1122,1.8250632418759,0.0294,-2.2334,0.3073,0.5539999999999999,0.1229,0.0739,0.0984,-0.2255
42,V,1.0,0.5131,4.43,0.6568,5.5159,0.6568,5748421265.88,9.012,23.7033,0.1838,0.34841298796059994,0.0055,0.6277,0.2849,0.2431,-0.0455,-0.0881,-0.1243,0.1135
46,RF,1.0,-0.0156,1.55,0.1929,17.5654,0.1929,1566779324.25,0.0,6.0805,0.1396,0.40187980140381,0.0344,0.6795,-0.0057,0.2811,0.0,-0.0455,-0.1384,0.2127
47,KR,1.0,-6.3383,2.11,1.1102,2.3476,1.1102,4961702678.24,13.0462,7.352,0.0498,0.6215726516276999,0.0172,1.6669999999999998,0.3849,0.462,0.1978,0.1689,0.0,0.1157
53,FCX,1.0,0.2255,1.79,1.3214,5.2753,1.3214,432892087.2,17.5338,3.8673,0.0382,0.61496653713299,0.0145,1.7206,0.1911,0.4784,0.1984,0.0107,-0.0105,0.016
56,SQ,1.0,0.2163,-0.09,2.5608,3.2657,2.5608,11001788359.2,27.3631,78.5993,0.1067,0.43165041556245,0.0,0.7737,0.495,0.3075,0.0672,0.0565,0.0823,0.1517
58,SWN,0.0,0.0955,0.93,2.5893,3.6975,2.5893,6757139712.68,40.6543,1.6207,0.0,0.0,0.0,0.0,0.1851,0.0,0.1725,0.1166,0.0888,0.2971
59,LOW,1.0,0.514,4.09,2.62,4.7572,2.62,19353136462.68,40.7626,16.628,0.0916,0.3922064777327899,0.0156,0.6535,0.2741,0.2807,0.0158,0.0549,0.009000000000000001,0.2066
60,RAD,1.0,0.1212,17.98,1.8314,2.2493,1.8314,1553027391.18,38.0789,7.8156,0.1149,0.39151591694216,0.0,0.8835,0.1861,0.3122,0.2036,0.0157,0.0652,0.0824
71,MAT,1.0,0.0619,-1.55,1.0545,2.1577,1.0545,3381257630.3,29.3858,-126.2238,0.2178,0.85762224352828,0.0,7.7845,0.1032,0.5126,0.2168,0.125,0.0999,0.0565
75,IBN,1.0,0.1875,0.3693,1.2199,4.477,1.2199,6856872800.0,17.0534,5.2515,-0.0102,0.52118360398615,0.0001,1.115,0.1257,0.4264,0.1664,0.0953,0.0649,0.162
81,AABA,1.0,-0.1477,-16.76,2.0961,8.2807,2.0961,5074971729.6,0.0,43.1825,0.1767,0.0,0.0,0.0,-0.1874,0.0,0.0,-0.0079,0.1604,0.0
82,SRC,1.0,0.1328,1.4,0.0053,0.9415,0.0053,4582450000.0,23.4746,8.9806,0.0829,0.50119876030642,0.2109,1.2789,0.0007,0.3829,0.126,0.1308,0.1487,0.0987
83,COP,1.0,0.2292,5.36,1.7619,1.0648,1.7619,2776951942.76,17.1015,5.5497,0.0629,0.27909128260212,0.0186,0.3949,0.209,0.2104,0.0,0.1532,0.1905,0.2558
85,DIS,1.0,0.0,8.4,1.1861,4.9101,1.1861,1161680000.0,6.2638,12.0935,0.2106,0.07927626020168901,0.0145,0.127,0.0,0.0899,-1.0,0.4337,0.3067,0.3048
87,CVX,1.0,0.0841,7.81,0.4695,8.8149,0.4695,1066696524.36,10.8915,6.7892,0.1032,0.098677936726247,0.0412,0.1714,0.0701,0.0986,0.0285,0.0422,0.0628,0.0629
88,PYPL,1.0,0.1611,1.74,0.965,2.0353,0.965,2168481301.74,16.5459,18.0719,0.4516,0.010005137773451,0.0,0.0279,0.1766,0.023,0.0806,0.0868,0.1089,0.3358
93,MDLZ,1.0,0.145,2.3,1.5365,1.7295,1.5365,2220515376.05,17.0174,14.7409,0.0671,0.20665297133067,0.024,0.3073,0.3058,0.1948,0.0596,0.0996,0.0838,0.1286
95,GFI,1.0,0.0471,-0.42,0.5478,4.9114,0.5478,496517228.34,46.9583,4.9033,0.0681,0.11450457128737,0.0159,0.1296,0.0466,0.0876,-0.1693,-0.0048,0.0054,0.3135
97,SCHW,1.0,0.0883,2.47,1.0002,1.5211,1.0002,1910325600.0,13.8157,4.5026,0.1526,0.10334549818511,0.0111,0.16399999999999998,0.1785,0.0954,0.2399,0.1046,0.1306,0.1807
99,SRCI,0.0,0.0633,1.07,0.4706,3.8352,0.4706,776862268.2,23.6061,2.1879,0.0467,0.7351601423487499,0.0,2.8104,0.05,0.4985,-0.0265,0.0439,0.0173,-0.0009
102,JNJ,1.0,0.175,5.7,2.2502,12.1587,2.2502,2485383450.0,24.422,15.4737,0.1705,0.0020648310550591,0.0274,0.0911,0.2377,0.0597,0.0339,0.0321,0.0236,0.2065
103,WDC,1.0,0.2134,2.27,2.7432,1.624,2.7432,2633292155.62,27.3284,5.5088,0.0067,0.0,0.0258,0.0,0.1884,0.0,0.2115,0.158,0.1917,-0.1432
105,STI,1.0,0.2802,5.79,1.526,1.6621,1.526,662953881.24,15.9048,8.8213,0.0691,0.0,0.0357,0.0,0.2635,0.0,0.013,0.1041,0.0255,0.1113
106,ON,1.0,0.1187,1.48,0.8721,2.6630000000000003,0.8721,427581567.18,22.8273,5.454,-0.1515,0.23999888737448,0.0,0.3225,0.4035,0.1483,0.1071,0.1148,0.0595,-0.1549
107,ITUB,0.0,0.1367,0.6598,0.9232,1.9123,0.9232,302715675.51,9.5928,7.4365,0.0926,0.41654111540166,0.0112,0.7148,0.171,0.3348,0.0,0.1885,0.2293,0.0823
108,BK,1.0,0.0977,4.06,0.9634,1.4467,0.9634,2913940000.0,24.7078,7.7621,0.0481,0.33385603212701,0.0221,0.5223,0.0404,0.2233,0.1188,0.1504,0.1572,0.0576
114,DAL,1.0,0.0947,5.69,3.582,1.5419999999999998,3.582,1934656495.2428,29.2013,4.8777,0.0573,0.065048557402255,0.0263,0.0696,0.1626,0.045,-0.0086,0.0166,0.0194,0.0419
116,CCL,1.0,-0.0171,4.45,0.2109,1.6148,0.2109,885640000.0,0.0,7.879,0.0913,0.14322543683758,0.0323,0.3445,-0.0126,0.1828,0.0,0.1003,0.1448,0.0097
118,PBR,1.0,-0.0955,1.1,0.7627,0.0,0.7627,1459945747.2,26.0187,1.837,0.0674,0.42856942345571,0.0103,0.7823,0.1102,0.3421,0.0,0.0055,0.0,0.2249
130,HBAN,1.0,-0.0572,1.22,100.5599,2.9794,100.5599,30188400.0,0.0,7.3311,0.0025,1.3001513450178,0.0419,-4.3787,0.0552,0.8904,0.0,-0.5502,-0.0508,0.0
135,KNX,1.0,0.0281,2.37,0.2487,5.0353,0.2487,319954098.53,32.7582,4.9612,-0.5994,1.1185296324081,0.0096,-14.2832,0.0153,0.3129,-0.0241,-0.0071,0.0117,0.0
140,MDT,1.0,2.1429,2.29,0.2702,0.0,0.2702,51421178.76,7.2745,23.5223,-0.0051,0.005641779665632,0.0226,0.0135,0.6868,0.0067,0.0,0.3076,-0.2248,0.055
145,EOG,0.0,0.0436,5.93,1.5261,0.9209,1.5261,180978951.0,92.5,6.51,0.0,0.0,0.0087,0.3438,0.0525,0.1044,-0.0225,0.1975,0.0888,0.3568
157,OXY,0.0,-0.0587,5.4,0.2215,1.4724,0.2215,26168913.74,0.0,6.042999999999998,0.6666,0.0,0.0505,0.0,-0.0594,0.0,0.0,0.0801,0.0557,0.0104
160,MTG,1.0,0.1514,1.83,0.2804,3.7327,0.2804,50538320.3,8.6468,6.9460000000000015,0.0316,0.53051935400069,0.0,1.1559,0.2071,0.4403,-0.1464,-0.0735,-0.0576,0.1099
173,NFLX,1.0,0.07,2.78,1.9565,0.0,1.9565,35097528.24,19.1351,-43.5454,-0.2226,0.35510156158272,0.0,0.7639,0.0552,0.2571,0.0423,0.0191,0.0991,0.0
183,WMB,1.0,0.3782,-0.16,0.1204,2.2183,0.1204,242407821.76,0.0,8.1058,-0.0347,0.14446230443080998,0.0617,0.1949,-0.5132,0.1294,0.0,-0.0412,0.0,-0.1417
192,SU,1.0,-0.4107,1.5037,4.4423,0.7337,4.4423,659850000.0,0.0,5.6532,0.0433,0.60870133080823,0.0294,1.6324,-0.3031,0.4567,0.0,0.1884,0.2079,0.0
193,MMM,0.0,-0.0006,9.09,0.9984,1.6323,0.9984,2849850345.48,0.0,17.2308,0.052000000000000005,0.43245482693957,0.0286,0.8241,-0.0003,0.325,0.0,0.0756,0.1468,-0.0659
194,BIIB,0.0,0.1512,21.63,1.3401,4.3552,1.3401,22916369026.1746,14.6597,9.7985,0.052000000000000005,1.1738519512038998,0.0,-6.752000000000002,0.2652,0.4554,0.0247,0.0304,0.0641,0.0753
196,ACN,1.0,0.084,6.46,0.3346,3.2638,0.3346,1814953001.4,23.0882,18.9273,-0.0636,0.7097284850810699,0.0157,2.6487,0.0438,0.4295,-0.016,0.0351,0.0731,-0.0529
202,EGO,1.0,-0.0588,-2.28,0.1971,3.4251,0.1971,384238127.26,0.0,6.9051,0.0067,0.29482708762141,0.0,0.4181,-0.0392,0.2172,0.0,-0.044,0.0485,0.0187
204,TEVA,0.0,-0.0486,-2.35,0.5697,4.7809,0.5697,4326750644.09,0.0,6.4221,0.001,0.30023289566949,0.0,0.429,-0.0263,0.2262,0.0,0.0987,0.0843,0.0
205,PAA,0.0,0.1225,2.77,3.1442,2.0785,3.1442,2531422654.66,27.0592,5.5807,0.0192,0.40158775591922,0.0599,0.8566,0.0862,0.3767,0.0,-0.1634,0.0,0.0337
211,BIDU,0.0,0.1039,11.38,2.9179,3.2101,2.9179,15307128170.18,33.6854,8.4403,0.0087,0.60878470250082,0.0,1.5916,0.0493,0.4128,-0.1063,-0.1838,-0.1352,0.1521
214,VOYA,1.0,0.1735,5.36,2.2079,1.5777,2.2079,9511804462.16,13.7407,3.3418,0.0447,0.3566444885706,0.001,0.7836,0.0828,0.3422,0.0,0.0985,0.2009,0.1015
221,BTU,0.0,0.1167,4.35,1.3721,3.1425,1.3721,5592000000.0,14.9367,2.3427,0.0333,0.25510995585055,0.0159,0.3466,0.0556,0.2163,0.0463,0.0572,0.0893,0.0124
224,DE,1.0,0.0712,7.34,2.5521,1.6915,2.5521,9033477684.8,31.6891,23.0719,0.0336,0.20542635258161,0.0198,0.2741,0.0746,0.1597,0.0044,0.0225,0.0919,-0.1406
232,VICI,1.0,0.1017,1.43,0.9734,2.7494,0.9734,3328949637.0090003,10.843,13.7932,0.0175,0.63313609467456,0.0531,1.7258,0.0806,0.3819,-0.1628,-0.0643,-0.0114,0.1359
236,KMB,1.0,-0.2707,4.05,0.6916,19.1614,0.6916,1985597210.64,0.0,13.2854,0.116,0.23845614928985,0.0351,0.3153,-0.1678,0.1856,0.0,0.0249,0.0061,0.0272
244,CMC,1.0,0.0942,1.19,1.5296,5.2342,1.5296,5760000000.0,22.036,-5.8248,0.0134,0.28279918287326,0.0222,0.3984,0.0599,0.2267,0.0686,0.0679,0.0865,0.1666
245,JCP,0.0,0.1264,-0.38,2.0646,1.4558,2.0646,2840796726.3,26.9614,2.299,0.0481,0.2811993130426501,0.0,0.4538,0.1083,0.182,0.0942,0.0319,0.033,-0.1837
262,SEE,1.0,0.0358,1.21,4.83,0.8976,4.83,2747321128.8,60.0,12.774,0.0926,0.3274244859728,0.0184,0.5666,0.8715,0.3017,-0.1333,-0.0782,0.0288,0.1358
267,K,1.0,-0.1003,3.85,1.2657,1.1067,1.2657,3688080000.0,0.0,12.88,0.0566,0.80345342144532,0.0386,4.2953,-0.2005,0.544,0.0,0.0918,0.1299,0.0543
277,BAH,1.0,0.0535,2.05,0.4412,3.7971,0.4412,2322305135.2,16.4955,14.8858,0.0688,0.324437995254,0.0185,0.4879,0.0394,0.2695,0.0,0.0188,-0.0623,0.0367
285,UTX,1.0,0.1854,6.58,1.4527,1.5408,1.4527,6674397500.7,27.6796,13.4908,0.046,0.43958212420197,0.0266,0.9147,0.1341,0.28,0.0745,0.0493,0.0114,0.0426
289,CRZO,0.0,0.0246,4.4,1.4117,0.0,1.4117,408534878.34,60.913,1.5828,0.0196,0.16370563980977,0.0,0.2295,0.0351,0.1517,-0.1151,0.0261,0.107,0.001
290,CENX,0.0,0.2575,-0.76,1.5715,0.7909999999999999,1.5715,3726102024.4,23.2137,-9.2705,0.141,0.0,0.0,0.0675,0.1692,0.0499,0.0574,0.0096,-0.04,0.1484
297,UAA,1.0,0.0572,-0.1,0.7587,1.7999,0.7587,789665257.44,33.92,12.611,0.2869,0.39204444865907,0.0,1.0394,0.0823,0.2892,-0.0649,0.0015,-0.0237,0.0882
306,ZTO,1.0,0.2218,0.8437,1.4874,1.5432,1.4874,455727926.61,27.3429,14.3809,0.0325,0.4757169246928901,0.0018,1.2857,0.1207,0.4424,-0.0247,-0.0813,-0.174,0.368
314,COTY,1.0,0.1917,-0.23,1.6746,1.2454,1.6746,1279536034.01,14.2339,25.163,0.0411,0.51075940580314,0.036000000000000004,1.0863,0.1471,0.3515,0.1656,0.0134,0.0481,0.1392
319,MNST,1.0,0.0042,1.78,0.0,11.8902,0.0,22726400000.0,96.0087,23.4248,0.0677,0.31223950444475,0.0,0.4549,0.0,0.2283,-0.2582,0.1017,0.094,0.0
339,DKS,1.0,0.1185,3.02,0.8865,0.0,0.8865,1593602622.84,14.746,4.2987,-0.0117,0.35740211288162,0.0228,0.5699,0.0679,0.2449,0.08900000000000001,0.0808,0.0317,0.0
345,HUN,1.0,0.1321,1.42,1.4176,1.0138,1.4176,1323966902.94,25.9432,3.8632,0.068,0.51621115687009,0.0337,1.067,0.1471,0.3368,0.1107,0.0398,0.0729,0.0
355,ENDP,0.0,0.0407,-4.61,1.0088,5.3767,1.0088,651201158.4,40.8511,6.1276,-0.1197,0.0,0.0,0.0,0.0764,0.0,-0.1943,-0.096,-0.0394,0.0
360,HON,1.0,0.6156,9.1,2.1317,1.5724,2.1317,4563511636.95,19.5748,15.2016,0.0829,0.6310269334555301,0.0715,1.7358,0.263,0.4598,0.2311,0.1095,0.0754,0.0842
361,YNDX,1.0,0.1288,2.1112,3.4689,3.4165,3.4689,1916524710.4,31.6667,21.7398,0.1141,0.31421510141469,0.0,0.4582,0.2166,0.2554,0.1622,0.1855,0.2017,0.2575
371,DG,1.0,0.0796,5.64,0.5299,2.8522,0.5299,785931130.08,20.4805,14.9848,0.1563,0.047820532355044014,0.0105,0.0502,0.0428,0.031,-0.0705,-0.0317,-0.0203,0.1349
372,SID,1.0,0.4963,0.9523,0.0,0.4999,0.0,19263952.61,2.1304,5.3105,0.2864,0.0,0.0192,0.0,0.4976,0.0,0.0,0.0,-0.0208,0.145
379,TOL,1.0,0.2838,4.92,3.2083,3.4127,3.2083,1213236173.68,27.4557,8.2342,0.1002,0.34759669764348,0.0122,0.5328,0.2657,0.2877,0.0628,0.0506,0.033,0.1358
386,JMEI,1.0,-0.0378,0.1201,0.0,0.414,0.0,217965840.0,0.0,-55.9008,0.2385,0.51212689015735,0.0,1.0497,-0.0275,0.3581,0.0,0.0,0.3347,0.3007
387,ETFC,1.0,0.1177,3.9,1.9696,1.6703,1.9696,590117238.0,12.7358,6.6169,0.0673,0.32026436258273,0.0032,0.5383,0.1066,0.2957,0.0,0.0,1.1451,0.1844
407,SYY,1.0,2.3287,2.74,0.0,2.7502,0.0,31886080.0,0.0,16.427,0.1139,0.39372759856631,0.0203,0.653,0.1088,0.2885,0.0,-1.0,0.0,0.0447
409,WDR,0.0,-0.2494,2.28,0.8087,3.9072,0.8087,23589373.5,0.0,3.9662,-0.0487,0.090395264787091,0.0553,0.0994,-0.5425,0.0635,0.0,-0.008,-0.0175,0.0
412,CTSH,0.0,0.006,3.61,0.3892,3.3281,0.3892,42156552.8,103.3333,14.1808,0.0621,0.28571428571429,0.0126,0.4182,0.0061,0.2313,-0.2371,-0.0454,0.0691,0.1129
413,HOLX,1.0,0.1251,-0.4,0.8247,4.2511,0.8247,13112101.045,9.0455,15.238,-0.0107,0.29965562491941,0.0,0.4547,0.1475,0.2487,0.0,0.0847,0.0329,0.0
415,CTXS,1.0,-0.1297,4.23,0.0,3.1426,0.0,19172413.2,0.0,13.3363,0.1143,0.1403733813702,0.0034,0.1651,-0.0479,0.0961,0.0,0.0,0.4502,0.2086
418,CF,1.0,0.01,1.25,1.286,2.9948,1.286,22584251.07,159.8571,6.7079,-0.1382,0.0,0.0276,0.0,0.01,0.0,-0.1766,0.0193,0.0437,0.0667
423,DISH,1.0,-0.1398,3.37,0.0,3.7666,0.0,493514100.0,0.0,4.638,0.1586,0.0064960453853658,0.0,0.0071,-0.1033,0.0068,0.0,0.0,0.1271,0.1492
442,BXMT,1.0,0.0003,2.5,21.0551,4.3208,21.0551,765794117.0,0.0,13.1471,0.0002,0.0,0.0778,0.0,0.0004,0.0,0.0,0.0802,-0.1145,-0.095
443,CHD,1.0,0.977,2.32,4.4681,3.2985,4.4681,145833023021.34,8.1803,21.2052,0.1814,0.027472436583973,0.0132,0.0644,1.056,0.053,0.3935,0.3491,0.2248,0.6128
445,IP,1.0,0.0994,4.91,3.7358,2.9368,3.7358,147554948496.34,33.4304,5.0673,-0.0288,0.059028433172607,0.0477,0.0642,0.1927,0.0209,-0.0283,0.0346,0.0688,0.0
446,CLI,1.0,-0.0378,0.8,3.3176,6.1635,3.3176,24805396556.04,0.0,10.5904,0.0298,0.48584040167459,0.0408,1.0777,-0.0944,0.4399,0.0,-0.0306,-0.0095,0.0
447,SE,1.0,0.2074,-2.84,3.2832,5.4845,3.2832,66993140304.81,15.2755,-7.8405,-0.1029,0.056135042308934006,0.0,0.2092,0.4134,0.1495,0.0313,-0.0053,0.0438,0.0
448,CC,0.0,0.1367,5.62,0.9139,30.1165,0.9139,94537068723.6,21.3704,4.2351,-0.0011,0.18609955107505,0.0298,0.2381,0.2323,0.1752,0.1022,0.0913,0.13,-0.0168
450,ZBH,1.0,0.0503,-1.86,5.4587,3.2030000000000003,5.4587,110599436210.64,31.8074,12.1074,0.1426,1.8141720896602,0.0093,-2.4534,0.1014,0.2722,0.0505,0.0832,0.1885,0.0125
451,NVAX,0.0,0.1408,-10.0,0.7063,1.2658,0.7063,108262395702.33,20.9807,-3.8114,0.0446,0.85646091649306,0.0,6.8995,0.3305,0.8615,0.1199,0.1164,0.1248,0.0
453,BBY,1.0,0.1646,3.33,0.3447,2.7483,0.3447,7844735478.28,22.0839,9.2873,-0.0058,0.55529060344027,0.02,1.3545,0.7186,0.5434,0.1632,0.2936,0.1585,0.0
456,LC,0.0,0.2707,-1.5,10.1653,1.9961,10.1653,94089990943.92,59.2871,-1.7543,0.0119,0.67936385719863,0.0,2.2054,0.1943,0.3268,0.3579,0.3075,0.2294,-0.1864
