,Stock_Symbols,Class,returnOnEquity,EPS,priceToSalesRatio,PB ratio,Price to Sales Ratio,Market Cap,PE ratio,POCF ratio,ROIC,longtermDebtToCapitalization,Dividend Yield,debtEquityRatio,returnOnAssets,Debt to Assets,10Y Net Income Growth (per Share),10Y Revenue Growth (per Share),10Y Shareholders Equity Growth (per Share),10Y Operating CF Growth (per Share)
457,PWR,1.0,0.3784,1.92,6.3441,0.0,6.3441,68286367442.15,19.9187,12.251,-0.4723,0.0,0.0013,0.0,0.5621,0.0,0.4163,0.2065,0.0716,0.0
458,TNDM,1.0,1.6469,-2.55,9.0326,26.3687,9.0326,99457480000.0,7.8478,-261.8478,0.0806,0.0,0.0,0.0306,0.7127,0.0245,0.083,0.0316,-0.0178,0.1471
463,BEN,0.0,-1.7303,1.39,14.4883,1.9593,14.4883,1239341119.66,0.0,7.2073,-0.1052,0.027107037564557,0.1286,0.1138,-0.2228,0.0771,0.0,0.013,-0.1521,0.0
465,NAVI,1.0,0.0175,1.52,16.5056,5.9332,16.5056,42980610797.25,280.5147,1.9936,-0.0091,0.27284546060076004,0.0726,0.4005,0.0601,0.2452,0.0,1.0437,0.515,0.0181
467,SBH,1.0,-0.5632,2.09,9.283,4.4116,9.283,268233473.97,0.0,5.7739,0.1162,0.0,0.0,0.0,-0.5314,0.0,0.0,-0.0805,-0.1453,0.0502
468,NI,1.0,-0.2505,-0.18,4.2412,2.4301,4.2412,13863228962.12,0.0,17.0511,-0.0396,0.0,0.0308,0.0,-2.2865,0.0,0.0,0.1034,0.1686,0.0
472,KLAC,1.0,0.1475,5.13,1.2504,10.8553,1.2504,4890121156.5,20.9602,13.1635,0.1912,0.26108801900151,0.0243,0.4147,0.1861,0.199,0.0533,0.0836,0.0751,0.0558
473,LADR,1.0,-0.1861,1.85,0.6876,0.0,0.6876,3411040055.28,0.0,8.5873,-2.6429,0.0,0.0992,0.0,-0.0595,0.0,0.0,0.0251,-0.0225,0.0
474,FHN,1.0,0.097,1.66,2.7127,7.9761,2.7127,27892345122.18,38.6764,18.1946,0.3114,0.5824508655185401,0.0365,1.3949,0.1302,0.4624,0.0135,0.0863,0.1,0.3437
476,HSIC,1.0,0.1111,3.51,0.4599,4.6644,0.4599,36403577931.84,14.3309,13.7107,0.0472,0.37714800658774,0.0,0.6197,0.1857,0.2605,0.0939,0.154,0.0809,0.019
477,CXO,0.0,0.0149,13.28,3.4856,14.3577,3.4856,20905782505.75,131.5256,8.0468,0.1726,0.15304676991203,0.0,0.269,0.0233,0.1439,-0.1245,0.0918,0.1078,0.0593
478,HLX,1.0,-0.5362,0.19,62.4583,4.1312,62.4583,2264111976.0,0.0,4.0739,0.0194,0.4459804163580999,0.0,0.8145,-0.6456,0.3031,0.0,0.0101,-0.004,-0.0496
480,BIG,1.0,-0.2604,4.43,16.5623,1.9984,16.5623,6658055422.2,0.0,9.3595,0.0819,0.3849953689410301,0.0179,0.6368,-0.2629,0.2618,0.0,0.0,0.0061,0.1161
482,PAYC,1.0,0.1661,2.37,0.9697,2.4408,0.9697,10308153434.6312,21.5062,38.8343,0.0414,0.36641435038699,0.0,0.5974,0.3416,0.3121,0.1367,0.0945,0.0926,0.0722
483,GCP,0.0,0.0393,0.21,0.1333,9.9882,0.1333,2591343799.452,15.8881,-30.7584,0.0974,0.41020097685964,0.0,0.7475,0.0129,0.2915,-0.031,0.1545,0.0712,0.161
484,YUM,1.0,-0.2026,4.8,0.1621,16.1359,0.1621,3019977002.4,0.0,24.4105,0.1294,0.40244492669904,0.0157,0.8614,-0.0159,0.2685,0.0,0.1022,-0.0221,0.078
488,MEOH,0.0,0.0511,7.07,9.707,6.5374,9.707,123163915625.0,31.2188,3.784,0.1121,0.6762960419834201,0.0274,2.1652,2.1531,0.5088,0.2321,0.08199999999999999,0.2639,0.4639
490,USFD,1.0,-0.5919,1.88,29.9501,2.2535,29.9501,30918606097.38,0.0,11.29,0.0459,0.92879315806145,0.0,16.7171,-0.348,0.318,0.0,0.0903,0.0381,0.0521
491,SFM,0.0,-12.6267,1.23,9.7436,29.0044,9.7436,2248655618.2,0.0,10.1908,0.0115,0.49382791029593,0.0,1.0739,-0.2254,0.3847,0.0,0.0172,-0.3535,0.0411
492,THC,1.0,0.0962,1.09,3.1671,5.0513,3.1671,12788850684.29,32.1583,1.6748,0.0151,0.57763753319832,0.0,1.3979,0.121,0.4475,0.0617,0.0249,0.0424,0.0819
494,ALLY,1.0,0.1528,2.97,1.7356,8.8497,1.7356,88164240000.0,30.4484,2.2555,0.1216,0.32067568005706,0.0247,0.4721,0.3743,0.2485,-0.026,0.0281,0.0569,0.0
497,AVP,1.0,-0.3798,-0.1,0.0,6.2429,0.0,1211524558.3,0.0,7.2534,0.0389,0.26419134512031,0.0,0.3783,-0.8857,0.2481,0.0,0.0,0.0,0.0
498,EVR,1.0,0.4782,9.29,0.9807,0.0,0.9807,579056629.26,1.7353,3.4089,0.0,0.0020181927036057,0.0266,0.0048,1.3528,0.0044,0.0,0.0905,-0.0167,0.0
499,CMS,1.0,-0.5708,2.33,229.2234,28.3171,229.2234,928354692.32,0.0,8.2604,0.0,0.0,0.0288,0.0,-0.5774,0.0,0.0,-0.3179,-0.1494,0.0
500,DOX,1.0,0.1601,2.49,1.3011,0.0,1.3011,11766483685.11,17.3425,16.486,-0.1977,0.7508441185885699,0.0148,3.0621,0.1528,0.5795,0.1228,0.0998,0.1479,-0.0089
502,HMHC,0.0,0.2308,-0.76,3.6701,11.3243,3.6701,155444896800.0,10.4185,9.5266,0.187,0.50264700006659,0.0,1.158,1.1762,0.4457,0.1137,0.0553,0.0892,0.1169
505,KMT,1.0,-0.2294,2.45,194.1022,4.154,194.1022,7977019456.98,0.0,10.4852,-0.0018,0.7372268773456,0.0225,2.9092,-0.2708,0.6558,0.0,0.0651,0.1826,0.0659
506,SRNE,1.0,-0.0716,-1.92,18.9828,18.6904,18.9828,16892729663.4,0.0,-2.6256,0.0441,0.5802122862014,0.0,1.5133,-0.1274,0.4515,0.0,0.3103,0.0,0.1057
507,HP,1.0,-0.8263,4.39,0.0,18.4428,0.0,960425433.0,0.0,13.686,0.0556,0.5873153444656299,0.0401,1.5613,-0.8266,0.4572,0.0,-1.0,-0.1572,0.3199
509,JHG,1.0,-0.3792,2.62,0.0,30.8638,0.0,1121738044.35,0.0,6.1355,0.0212,0.52451228687908,0.0676,1.1626,-0.4314,0.4213,0.0,-1.0,0.0942,0.0666
510,FDX,0.0,1.1487,17.08,34.4749,3.6524,34.4749,1281501347.64,0.0,14.2423,-2.9245,1.0178446747514,0.008,-57.0391,-1.2651,0.8023,0.0,-0.1556,0.0,0.0
513,LNG,1.0,0.0925,1.92,3.337,16.3236,3.337,56612008603.15,28.5988,7.6407,0.0892,0.37397153136243,0.0,0.7357,0.4884,0.2656,0.1361,0.1007,0.1196,0.0269
514,WU,1.0,-0.8232,1.89,58975.4005,0.0,58975.4005,3597499431.25,0.0,9.198,0.1131,0.20391971208397,0.0445,0.4364,-0.8251,0.1803,0.0,-0.4894,0.0105,0.1151
515,BAX,1.0,-2.0167,3.04,34.3965,2.2832,34.3965,460844316.0,0.0,16.7106,0.0356,0.90154840282858,0.0111,9.439,-0.5488,0.6947,0.0,-0.2209,-0.2263,0.1078
516,AOBC,0.0,0.0507,0.37,5.0132,2.2352,5.0132,8169730000.0,51.3254,9.6593,0.0408,0.97306375557135,0.0,36.5827,0.1146,0.6176,0.0246,0.0696,0.1326,0.0
518,NUAN,1.0,-0.4721,-0.55,12.143,4.0479,12.143,136474659.16,0.0,9.6716,-0.0257,0.020463973694328,0.0,0.0266,-0.4762,0.0201,0.0,-0.0068,-0.1714,0.0
520,MLM,1.0,0.0352,7.46,2.5048,0.0,2.5048,1047711465.56,29.0288,15.2852,-0.0103,0.28230794953068,0.0107,0.4301,0.0842,0.254,0.0,0.4694,0.2758,-0.0207
523,AGN,1.0,-0.2115,-15.26,16.1746,5.4149,16.1746,639527658.33,0.0,7.9931,-0.6558,0.73423424781884,0.0215,2.7627,-0.2083,0.428,0.0,0.1942,0.0655,0.0
524,GT,0.0,0.1845,2.92,0.2942,5.845,0.2942,52669430650.2,35.5102,5.1919,0.0843,0.30974459085733,0.0284,0.4487,0.2829,0.2443,0.0,0.1111,0.0675,0.0516
527,BW,0.0,-0.2997,-57.0,3.6262,0.0,3.6262,398610359.21,0.0,-0.2334,0.0428,0.29605532943660995,0.0,0.5334,-0.3328,0.2709,0.0,0.0,-0.4701,0.0733
530,HCA,1.0,-0.4397,10.9,26.2207,5.4901,26.2207,7438889656.44,0.0,6.335,-0.1838,0.30015448442039,0.0112,0.4289,-0.1134,0.149,0.0,0.1402,0.4445,0.0
536,CNX,0.0,0.2366,3.75,0.35200000000000004,7.2379,0.35200000000000004,285025746.78,34.3333,2.6248,0.0374,0.19300326758619,0.0,0.3181,0.0234,0.1829,0.0,0.1009,0.0,0.0312
539,ES,1.0,0.1363,3.25,8.5587,2.0221,8.5587,20407379357.079,34.4146,11.553,-0.5262,0.14015796737309,0.0311,0.163,0.2757,0.1188,0.1945,0.2578,0.2488,0.0
541,ARMK,1.0,0.1942,2.31,0.2699,7.7055,0.2699,27674223613.4,22.8552,10.124,0.0,1.7391909283801,0.0098,-2.4898,0.202,0.7841,0.0413,0.0623,-0.0057,0.0
544,APTV,1.0,0.174,4.04,13.7665,7.1943,13.7665,56493783921.84,87.9854,9.9644,-0.1826,0.0,0.0143,2.1174,0.172,0.3175,0.0,0.4214,0.3307,0.0
547,NSC,1.0,0.1042,9.58,0.2315,2.2048,0.2315,2262612446.36,21.8061,10.9304,0.037000000000000005,0.41644993498049,0.0203,0.7719,0.0923,0.3622,0.0433,0.0679,0.0632,0.1483
548,NKTR,0.0,-0.4828,4.02,22.5473,1.7893,22.5473,889199740.0,0.0,7.9215,0.0,0.0,0.0,0.0,-0.4735,0.0,0.0,0.1022,0.1424,0.0
549,PSX,1.0,0.2223,11.87,4.7315,60.2147,4.7315,7943755439.82,22.4582,5.2457,-0.1885,0.60744500846024,0.036000000000000004,1.6356,0.2308,0.3862,0.182,0.1445,0.1259,0.0
554,AMH,1.0,-0.2831,0.08,5.9516,4.1057,5.9516,2412324303.0,0.0,14.3256,0.0331,0.50815004547981,0.0101,1.0558,-0.5175,0.398,0.0,-0.0399,0.0659,0.0
556,FOE,0.0,0.0885,0.95,1.4415,5.9663,1.4415,12512368000.0,27.9097,7.1422,-2.7601,1.1947921102028998,0.0,-6.6692,0.16399999999999998,0.8283,0.0406,0.131,0.1316,0.0
557,A,1.0,0.0918,0.98,0.2378,3.9614,0.2378,3372210660.0,21.8655,19.0001,-21.961,0.0,0.0092,0.0,0.0762,0.0,0.1527,0.2125,0.1312,0.0
559,MOS,0.0,0.0763,1.22,4.1867,1.5803,4.1867,7523972529.15,36.85,7.9867,0.1532,0.64402476275049,0.0034,2.0957,0.1641,0.1327,0.0675,0.068,0.0614,0.225
564,UE,1.0,-0.9406,0.92,11.6585,4.2089,11.6585,99353581.6,0.0,13.8628,-0.1099,0.85517502200048,0.0529,5.9168,-1.6849,0.6456,0.0,0.0,0.0,0.0
568,CAAP,0.0,-0.2095,0.0,246.656,3.1572,246.656,4876143245.96,0.0,5.5002,-96.7539,2.5219264237098,0.0,-1.6571,-0.2458,0.5660000000000001,0.0,-0.2341,-0.0721,0.0
573,AGO,1.0,0.1,4.73,3.8749,0.8029999999999999,3.8749,921090190.8,24.3068,8.7553,0.2169,0.35460103721735,0.0167,0.59,0.1602,0.2957,0.0,0.1525,0.1976,0.0
582,LOGM,1.0,-2.2832,1.44,4.1408,10.7926,4.1408,6633061482.64,35.2271,10.329,0.1645,0.26193272086758,0.0147,0.4028,0.6448,0.1695,0.1318,0.1343,0.0,0.025
586,PRU,1.0,0.1219,9.64,3.0218,8.7567,3.0218,5468564891.35,22.3175,1.5547,0.1226,0.34006096965029003,0.0441,0.6920000000000001,0.3734,0.3601,0.0557,0.0123,0.0554,0.1902
588,MNK,0.0,0.0548,-42.94,22.9414,3.0086,22.9414,1237668090.1,0.0,1.9968,0.1827,0.60832178593172,0.0,1.5531,-0.0933,0.3976,0.0,0.0753,0.0,0.0
594,AVYA,0.0,0.1698,27.42,6.191,0.0041,6.191,5234426245.8,36.5833,8.1881,0.0634,0.49047733624535,0.0,1.0624,0.2413,0.4106,0.5472,0.1214,0.2147,0.0871
595,CBSH,1.0,-0.9453,3.79,0.0,5.0042,0.0,169829023.56,0.0,10.835,0.0,0.41566265060241,0.0167,0.9976,-0.9453,0.2208,0.0,0.0,0.0,0.175
605,TSCO,1.0,-0.4385,4.34,282.2564,3.8054,282.2564,1546765281.6,0.0,14.668,0.1426,0.36326530612245,0.0144,0.5998,-0.4606,0.2277,0.0,-0.1959,-0.0122,0.0415
610,KRG,1.0,-1.2425,-0.56,15.4851,7.8397,15.4851,384293816.1,0.0,7.6404,-0.0259,0.33563301150729,0.0901,0.5654,-0.5155,0.3093,0.0,0.1436,-0.1423,0.04
611,VSH,1.0,-0.2252,2.39,11.4213,0.141,11.4213,1023919338.4,0.0,10.0474,0.0414,0.0,0.0179,0.0,-0.2328,0.0,0.0,0.1153,-0.0002,0.2466
614,TRUE,0.0,-0.4818,-0.28,8.8035,4.8472,8.8035,2593042731.34,0.0,37.9448,0.0772,0.14751060134642002,0.0,0.1832,-1.0579,0.1279,0.0,0.0379,0.1223,0.0
616,HPP,1.0,-1.4475,0.63,2.8968,3.5848,2.8968,37519031.35,0.0,21.2173,0.0454,0.22610835451208,0.0344,0.3228,-0.8043,0.1775,0.0,-0.29100000000000004,-0.2466,0.0495
624,INVH,1.0,0.6046,-0.01,2.8365,1.9136,2.8365,490735333.44,11.8544,18.6252,-0.8841,0.0,0.0219,0.0,0.3377,0.0,0.0,0.1531,-0.0763,0.0
626,LW,1.0,0.2037,2.83,2.7257,2.6727,2.7257,3715899485.4,24.8287,19.619,-0.015,0.4184131953503201,0.0117,0.7194,0.1613,0.3718,0.0501,0.0785,-0.0463,-0.0539
628,NHI,1.0,0.9867,3.68,0.183,8.5037,0.183,3366801.69,0.0,15.3468,0.0585,0.61461777150524,0.053,1.9165,-0.2671,0.6019,0.0,-0.2105,0.0,0.3818
629,CBL,0.0,-0.1661,-0.72,11.9558,6.8456,11.9558,485071419.84,0.0,0.8788,0.0957,0.16834114757757998,0.3516,0.2046,-0.1976,0.1332,0.0,-0.0638,-0.063,0.0329
634,KLIC,1.0,-0.0112,0.82,22.2818,1.7039,22.2818,1473319697.59,0.0,13.1972,0.3874,0.0,0.01,0.0,-0.0112,0.0,0.0,-0.2936,0.0,0.0
639,FLO,1.0,0.0416,0.74,1.4832,25.4028,1.4832,2948851432.11,62.6386,13.1643,-0.0167,1.0840962300396,0.0384,-13.442,0.0507,0.747,0.0,0.0102,0.0247,0.0
643,COF,1.0,0.6078,11.9,3.873,7.0548,3.873,9277524470.94,26.5984,2.7588,-0.1043,0.46719904136784,0.0212,0.973,0.4677,0.418,0.1732,0.0944,0.0299,0.1287
650,TROW,1.0,-0.2648,7.41,0.0,2.4107,0.0,248353856.32,0.0,13.7152,-1.6553,1.4280016449608002,0.0303,-3.3402,-2.0885,0.8325,0.0,0.0,-0.0699,0.0
651,ARLP,0.0,0.0512,2.74,3.0383,2.0,3.0383,363746552.96,46.0,3.2510000000000003,-1.4527,0.0,0.1194,0.0,0.0621,0.0,-0.1337,0.0328,0.006999999999999999,0.0
655,BLMN,1.0,-0.4881,1.16,4.3689,5.0598,4.3689,671116050.0,0.0,5.7073,0.0258,0.38689109261816,0.0201,0.6511,-0.2414,0.3441,0.0,0.2686,0.0208,0.0788
659,RCL,1.0,-0.0887,8.6,1.745,2.5105,1.745,165356499.83,0.0,5.8744,0.1607,0.14151129525501002,0.0266,0.3826,-0.0873,0.1746,0.0,0.0035,-0.0819,0.0926
669,YUMC,1.0,-0.0536,1.84,1.4158,0.0,1.4158,138177000.0,0.0,9.5352,0.1069,2.3144549516783,0.0125,-2.1074,-0.075,0.6693,0.0,0.0476,-0.12,0.0
684,FBHS,1.0,0.0912,2.69,0.9969,0.0,0.9969,813874615.26,24.3495,8.894,0.2311,0.66798218929938,0.0211,2.0555,0.3029,0.4126,0.1216,0.1599,0.1428,0.1377
686,EXPD,1.0,-0.3006,3.55,0.0,4.4291,0.0,42088126.5,0.0,20.516,0.3114,0.0,0.0132,0.0,-0.3057,0.0,0.0,-1.0,-0.4085,0.4133
688,EXPE,0.0,0.4102,2.71,4.8752,3.7197,4.8752,7146022213.32,11.0522,8.4972,0.1819,0.26939401786370004,0.011,0.3687,0.4898,0.1909,0.2582,0.2878,0.1908,0.1807
692,ED,1.0,1.1838,4.43,652.8332,36.1096,652.8332,31147978.56,0.0,8.8353,0.1818,0.0,0.0374,0.0,-1.5221,0.0,0.0,-0.4935,0.0,0.0186
694,DVAX,0.0,0.1312,-2.55,1.3937,0.3307,1.3937,45442324.7,10.5333,-4.3688,-7.7859,0.33767850272705,0.0,0.6786,0.2336,0.3439,0.0,0.0899,0.2327,0.0
718,MLHR,1.0,-0.0062,2.15,1.6229,2.7231,1.6229,578634759.18,0.0,11.8532,0.0,0.0,0.0218,0.0,-0.0234,0.0,0.0,0.0698,0.1393,0.0
723,TRP,1.0,-1.4572,2.9037,0.0,6.4784,0.0,72530958.6,0.0,6.7495,-0.0246,0.25698227714499,0.0435,0.382,-9.2827,0.1785,0.0,-1.0,0.0,0.0
732,EWBC,1.0,0.2143,4.86,3.6612,17.2734,3.6612,713320258.5,20.1176,7.1448,0.068,0.16023189273228,0.0198,0.2021,0.2699,0.1267,0.0904,0.0588,0.0529,-0.0052
736,VRAY,0.0,0.0183,-0.98,3.7474,4.5429,3.7474,1846186685.82,164.5385,-4.7554,0.0574,0.0,0.0,0.0,0.0276,0.0,0.0,-0.07400000000000001,0.0,0.0
741,CASA,0.0,0.9686,0.87,30.0407,3.8154,30.0407,2160350248.68,9.3385,11.0288,0.0456,0.44195825388608,0.0,0.792,-29.7045,0.3678,0.0,0.1594,0.0,0.0249
749,TXMD,0.0,0.1272,-0.59,8.0895,2.0783,8.0895,3658446358.41,33.9552,-8.4853,-0.8059,0.0,0.0,0.0,0.3185,0.0,0.0589,0.1066,0.1315,0.0
758,FIT,1.0,0.0996,-0.76,3.9885,4.15,3.9885,312508400.25,39.2045,10.911,0.0,0.0,0.0,0.0,0.1415,0.0,0.5185,0.017,0.0691,0.0
761,ADI,1.0,0.1179,4.02,4.0355,0.9392,4.0355,2280094695.2,47.3103,13.145,-3.2796,0.17715156347895,0.0219,0.3353,0.266,0.1872,0.0962,0.1281,0.1174,0.0
766,MBT,1.0,0.0904,0.12,1.7684,0.0,1.7684,1216257916.5,21.8206,2.8625,0.0833,0.16333321921326,0.0017,0.5623,0.1433,0.2531,0.1287,0.1145,0.0758,-0.06
767,TMO,1.0,0.0761,7.31,11.1564,1.4874,11.1564,931973114.37,101.0357,19.8311,-0.5545,0.10819742326964997,0.003,0.2926,0.0951,0.1958,0.0,0.2336,0.1654,0.0
779,CHTR,1.0,-0.2262,5.29,4.6547,0.0,4.6547,349043218.02,0.0,5.5439,-7.1545,0.75304374832549,0.0,3.6724,-0.2175,0.5067,0.0,-0.0288,-0.0661,0.0
800,AGCO,1.0,0.0258,3.62,2.1025,3.5993,2.1025,306743477.04,77.0,7.3134,0.2366,0.0,0.0108,0.0,0.0394,0.0,0.0,0.0616,0.1023,0.0975
804,CAKE,0.0,0.1096,3.35,2.4366,1.4841,2.4366,254866233.28,48.35,9.4544,0.152,0.0,0.0215,0.0,0.1327,0.0,0.3036,0.014,0.2741,0.0
813,PEIX,0.0,0.2149,-1.42,1.6383,11.0123,1.6383,2528496220.6,22.9052,25.106,0.0956,0.36082958384463,0.0,0.5645,1.1387,0.3298,0.1665,0.0982,0.073,0.3214
830,EAT,0.0,0.13,2.75,4.5629,0.0,4.5629,282435491.52,23.7391,7.6455,-0.0208,0.13610147182003002,0.0306,0.1904,0.1571,0.1276,0.0,0.0328,0.0101,-0.0539
844,HTA,1.0,0.0822,1.04,0.8127,154.3079,0.8127,229416724.36,19.85,15.5238,0.0181,0.45682893239926,0.0486,0.8586,0.0688,0.3751,0.0,0.061,-0.0295,-0.0468
845,NPTN,1.0,0.0955,-0.97,6.1321,0.0,6.1321,1735850697.6881,51.4587,15.2283,0.0,0.22491005569154,0.0,0.3167,0.134,0.1756,0.1758,0.1285,0.1687,0.0
851,LXP,1.0,-3.157,0.93,29.9841,0.0,29.9841,43387032.0,0.0,8.9059,0.1169,0.0,0.0865,0.0086,-3.2717,0.0057,0.0,-0.4946,-0.4077,0.1447
852,ONB,1.0,-0.0097,1.23,1.8681,6.479,1.8681,740669646.15,0.0,10.0092,0.101,0.21245968825585,0.0338,0.2763,-0.0154,0.1475,0.0,0.0069,-0.0398,0.0983
865,YEXT,0.0,8.9242,-0.85,2.85,4.6564,2.85,158023630.8,0.0,-33.9206,0.1592,0.16023098899373,0.0,0.2075,-0.4047,0.1236,0.0,-0.1757,0.0,0.0815
903,WDAY,1.0,-0.4244,-1.55,473.7143,0.9213,473.7143,179537702.4,0.0,54.0594,0.1124,0.0,0.0,0.0,-0.4055,0.0,0.0,0.0,-0.2109,0.0859
933,FORM,1.0,0.1402,1.42,2.9258,0.0,2.9258,86464809.4,14.7619,15.198,0.0,0.34557679138393,0.0,0.6866,0.1262,0.3339,0.0,0.0022,-0.0857,0.0
935,NVO,1.0,427.7257,2.4479,3.5108,0.0,3.5108,30783900.7,0.0,12.5022,-4.1799,0.0,0.0035,0.0,37.8245,0.0,0.0,-0.1221,0.0,0.0
980,GLPI,1.0,0.1019,1.59,11.0691,0.0,11.0691,130302220.0,12.25,10.5699,0.2965,0.0,0.0795,0.0,0.1331,0.0,-0.0485,-0.1729,-0.1345,0.2437
997,TRV,1.0,-0.4953,9.37,4.12,3.5516,4.12,26569792.48,0.0,7.2419,-0.6339,0.0,0.0253,0.0,-0.6296,0.0,0.0,-0.0266,0.3203,0.0
1004,WSM,1.0,0.8279,3.03,7.3208,1.4595,7.3208,19802793.6,0.0,8.9177,-0.1384,0.11068103479233,0.0295,0.1398,3.1027,0.1013,0.0,-0.4176,0.0,0.0
1010,DRQ,1.0,-3.411,-2.58,2.6594,2.6568,2.6594,59803110.0,0.0,23.6114,-0.6920000000000001,0.0,0.0,1.359,-3.1943,0.2178,0.0,-0.0415,0.0,0.0
1011,AXS,1.0,-3.3307,0.0,0.0,10.7187,0.0,6350236.0,0.0,400.6343,-0.2272,0.0,0.0304,0.0142,-26.6749,0.0119,0.0,-1.0,-0.5532,0.0
1018,ISRG,1.0,0.1224,9.92,0.1316,4.0612,0.1316,51012088.8,30.1852,46.762,-0.1346,0.27568900686440995,0.0,0.5215,0.0249,0.2628,-0.2449,0.061,0.0,0.0
1032,SMFG,1.0,-0.871,0.9427,0.8334,3.6802,0.8334,7860298.8,0.0,1.9838,0.1899,0.0,0.0003,0.0,4.1325,0.0,0.0,-0.2996,-0.2154,0.1147
1040,PLNT,1.0,-0.0624,1.01,0.7119,1.4717,0.7119,15303113.72,0.0,28.39,0.0,0.0,0.0,0.0,-0.0471,0.0,0.0,0.0479,-0.0583,0.0
1042,AYI,1.0,0.2345,8.54,3.2988,1.7385,3.2988,73248448.5,12.8378,17.4716,0.021,0.027715921742357003,0.0034,0.113,0.2738,0.0593,0.1822,-0.0812,-0.0164,0.0
1048,WCN,1.0,3.7217,2.07,1.6062,5.4622,1.6062,7036649.8,0.0,13.864,0.0,0.0,0.0078,0.0224,-65.6505,0.0154,0.0,0.0,0.0,0.0
1055,TYME,0.0,0.1294,-0.21,2.0384,0.0,2.0384,54984565.74,36.2143,-16.8348,-0.1689,0.46092289690665,0.0,0.8575,0.0854,0.3736,-0.0981,0.0187,0.0227,-0.0215
1063,CMA,1.0,13.1414,7.31,1.112,2.6051,1.112,106116730.2,0.0,6.8732,-3.7142,0.0,0.0268,0.0,-0.4328,0.0,0.0,0.1049,0.0,0.0
1067,IRET,1.0,-0.8821,8.71,0.0,0.0,0.0,9512700.0,0.0,11.588,0.0622,0.48146093165754,0.0525,1.2578,-1.2005,0.4462,0.0,-1.0,-0.3618,-0.0155
1068,HUM,1.0,0.1562,12.24,1.861,2.8534,1.861,138661461982.89,17.2043,18.0862,-0.2287,0.48173354186012,0.006999999999999999,0.9295,0.2937,0.3861,0.2784,0.16699999999999998,0.0559,0.0
1072,JWN,0.0,0.2576,2.62,2.859,8.2909,2.859,87487911196.8,26.7789,5.5496,-0.1531,0.025862068965517,0.0317,0.7157,0.2668,0.2526,0.1268,0.1053,0.1064,-0.1643
1090,TSE,0.0,-1.744,6.83,1.7242,2.4684,1.7242,7027525345.28,35.8497,5.2863,-1.7794,0.3546619932965,0.0332,1.3052,0.022,0.1191,0.0,0.1856,0.0,0.0
1096,LYV,1.0,0.6806,-0.09,1.6546,1.6632,1.6546,137620710160.5,22.0316,10.9603,0.0,0.42727100036582,0.0,0.0,0.2372,0.0,0.0766,0.065,-0.0442,0.0
